ID,First Name,Middle Name,Last Name,Category ID,Link to the SIGGRAPH History Archive,Category Description,Role
0001,Victor,,Acevedo,4,,Pioneer,1983 Pioneer
0002,Victor,,Acevedo,5,,SIGGRAPH Committee,Digital Arts Committee
0003,Paula,Gaetano,Adi,2,,Conference Committee,2017 Art Gallery Chair
0004,Akshay,,Agarwal,2,https://history.siggraph.org/person/akshay-agarwal/,Conference Committee,2016-2017 Mobile Chair
0005,Maneesh,,Agrawala,1,,Award,2008 Significant New Researcher Award
0006,Kurt,,Akeley,1,,Award,1995 Computer Graphics Achievement Award
0007,Kurt,,Akeley,1,,Award,2018 SIGGRAPH Academy
0008,Kurt,,Akeley,2,,Conference Committee,2000 Papers Chair
0009,Kurt,,Akeley,4,,Pioneer,1995 Pioneer
0010,Marc,,Alexa,1,,Award,2022 SIGGRAPH Academy
0011,Marc,,Alexa,2,,Conference Committee,2006 Sketches & Apps Chair
0012,Marc,,Alexa,2,,Conference Committee,2007 Posters Chair
0013,Marc,,Alexa,2,,Conference Committee,2013 Technical Papers Chair
0014,Ginger,,Alford,2,,Conference Committee,"2014, 2016 Education Liaison"
0015,Ginger,,Alford,2,,Conference Committee,2019-2020 General Submissions Chair
0016,Ginger,,Alford,2,,Conference Committee,2023 Frontiers Chair
0017,Jordi,,Alonso,4,,Pioneer,1988 Pioneer
0018,Ed,,Angel,1,,Award,2022 Distinguished Educator Award
0019,Ed,,Angel,1,,Award,2022 SIGGRAPH Academy
0020,Ed,,Angel,4,,Pioneer,1975 Pioneer
0021,Ed,,Angel,6,,Chapters,"1990-1995 Vice-Chair, Rio Grande Chapter"
0022,Roy,C,Anthony,2,,Conference Committee,2018 Conference Chair
0023,Roy,C,Anthony,2,,Conference Committee,2014-2016 CAF Chair
0024,Roy,C,Anthony,2,,Conference Committee,2022 Special Projects Chair
0025,Nik,,Apostolides,2,,Conference Committee,2020 Art Gallery Chair
0026,Diana,,Arellano,2,,Conference Committee,2017-2018 International Resources Chair
0027,Diana,,Arellano,2,,Conference Committee,2022 Student Volunteers Chair
0028,Norman,,Badler,1,,Award,2021 SIGGRAPH Academy
0029,Norman,,Badler,2,,Conference Committee,1977-1979 Courses Chair
0030,Norman,,Badler,3,,Executive Committee,1978-1981 Executive Committee
0031,Norman,,Badler,4,,Pioneer,1968 Pioneer
0032,Norman,,Badler,5,,SIGGRAPH Committee,1987 Awards Committee
0033,Ronald,,Baecker,2,,Conference Committee,1983 Panels Chair
0034,Larry,,Bafia,2,,Conference Committee,2018 Computer Animation Festival Producer
0035,Larry,,Bafia,2,,Conference Committee,2020 Creative Development Director
0036,Larry,,Bafia,2,,Conference Committee,2021 VR Theater Director
0037,Mike,,Bailey,2,,Conference Committee,1991 Conference Chair
0038,Mike,,Bailey,2,,Conference Committee,"1984-1985, 1987-1988, 1994 Courses Chair"
0039,Mike,,Bailey,2,,Conference Committee,"1992-1994, 1996-2000 Fundamentals Seminars"
0040,Mike,,Bailey,2,,Conference Committee,2011-2012 Education Director
0041,Mike,,Bailey,3,,Executive Committee,1986-97 Executive Committee
0042,Mike,,Bailey,4,,Pioneer,1984 Pioneer
0043,Kavita,,Bala,1,,Award,2020 Computer Graphics Achievement Award
0044,Kavita,,Bala,1,,Award,2020 SIGGRAPH Academy
0045,Adam,,Bargteil,3,https://history.siggraph.org/person/adam-bargteil/,Executive Committee,2016-2021 Executive Committee Member
0046,Jesse,,Barker,2,,Conference Committee,2014-2015 SIGGRAPH Mobile Chair
0047,Jesse,,Barker,2,,Conference Committee,2018 Real-Time Live! Chair
0048,Jesse,,Barker,3,,Executive Committee,2020-2023 Executive Committee
0049,Elizabeth,,Baron,1,,Award,2020 Practitioner Award
0050,Elizabeth,,Baron,1,,Award,2020 SIGGRAPH Academy
